cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight,zraw
MSaaaapap:285,MSaaaapap,285,0,0,0,0,0,0,0,0,0,0,0
MSaaaapp:235,MSaaaapp,235,11414,-13586,35,35,11414,-31.7,243,281,34,441249,47.2
MSaaaappa:300,MSaaaappa,300,0,0,0,0,0,0,0,0,0,0,0
MSaaaappp:300,MSaaaappp,300,0,0,0,0,0,0,0,0,0,0,0
MSaaap:146,MSaaap,146,11745,-13255,310,315,11745,36.8,272,311,44,355748,19.4
MSaaapa:190,MSaaapa,190,11507,-13493,151,164,11507,7.2,222,286,41,597002,31.4
MSaaapaa:240,MSaaapaa,240,11400,-13600,52,54,11400,-4.6,204,287,37,521176,36.2
MSaaapaaa:285,MSaaapaaa,285,0,0,0,0,0,0,0,0,0,0,0
MSaaapaap:285,MSaaapaap,285,0,0,0,0,0,0,0,0,0,0,0
MSaaapap:240,MSaaapap,240,11352,-13648,-12,0,11352,-14.1,250,293,33,403274,40
MSaaapapa:300,MSaaapapa,300,0,0,0,0,0,0,0,0,0,0,0
MSaaapapp:300,MSaaapapp,300,0,0,0,0,0,0,0,0,0,0,0
MSaaapp:190,MSaaapp,190,11395,-13605,47,47,11395,2.7,283,276,35,515581,33.2
MSaaappa:280,MSaaappa,280,11427,-13573,-33,-41,11427,-4.9,271,293,30,405102,36.2
MSaaappp:280,MSaaappp,280,11420,-13580,-38,-33,11420,-15.3,303,281,31,361609,40.5
MSaap:113,MSaap,113,12358,-12642,445,446,12358,56.3,295,345,51,463340,11.5
MSaapa:146,MSaapa,146,11631,-13369,224,228,11631,55.4,316,345,44,260762,11.9
MSaapaa:182,MSaapaa,182,11557,-13443,247,247,11557,31.5,301,293,40,403017,21.6
MSaapaaa:235,MSaapaaa,235,11502,-13498,138,137,11502,25.4,295,288,34,380115,24
MSaapaaaa:280,MSaapaaaa,280,0,0,0,0,0,0,0,0,0,0,0
MSaapaaap:280,MSaapaaap,280,0,0,0,0,0,0,0,0,0,0,0
MSaapaap:235,MSaapaap,235,11605,-13395,162,155,11605,8.9,322,278,39,572058,30.7
MSaapaapa:282,MSaapaapa,282,0,0,0,0,0,0,0,0,0,0,0
MSaapaapaa:382,MSaapaapaa,382,0,0,0,0,0,0,0,0,0,0,0
MSaapaapap:382,MSaapaapap,382,0,0,0,0,0,0,0,0,0,0,0
MSaapaapp:282,MSaapaapp,282,0,0,0,0,0,0,0,0,0,0,0
MSaapap:182,MSaapap,182,11294,-13706,53,49,11294,37.2,366,297,38,276670,19.3
MSaapapa:240,MSaapapa,240,11395,-13605,54,61,11395,27.2,333,263,31,326931,23.4
MSaapapaa:355,MSaapapaa,355,0,0,0,0,0,0,0,0,0,0,0
MSaapapap:355,MSaapapap,355,0,0,0,0,0,0,0,0,0,0,0
MSaapapp:240,MSaapapp,240,11292,-13708,-57,-66,11292,29.4,368,300,36,365139,22.4
MSaapappa:290,MSaapappa,290,0,0,0,0,0,0,0,0,0,0,0
MSaapappp:290,MSaapappp,290,0,0,0,0,0,0,0,0,0,0,0
MSaapp:146,MSaapp,146,11643,-13357,234,245,11643,58.6,397,362,42,282310,10.6
MSaappa:195,MSaappa,195,11241,-13759,50,51,11241,56,387,285,34,263287,11.6
MSaappaa:290,MSaappaa,290,0,0,0,0,0,0,0,0,0,0,0
MSaappap:290,MSaappap,290,0,0,0,0,0,0,0,0,0,0,0
MSaappp:195,MSaappp,195,11390,-13610,-24,-17,11390,50.4,429,311,41,338140,13.9
MSaapppa:270,MSaapppa,270,11488,-13512,-113,-110,11488,31.3,384,348,30,265310,21.7
MSaapppaa:340,MSaapppaa,340,0,0,0,0,0,0,0,0,0,0,0
MSaapppap:340,MSaapppap,340,0,0,0,0,0,0,0,0,0,0,0
MSaapppp:270,MSaapppp,270,11507,-13493,-89,-88,11507,40.4,430,327,30,220951,18
MSaappppa:365,MSaappppa,365,0,0,0,0,0,0,0,0,0,0,0
MSaappppp:365,MSaappppp,365,0,0,0,0,0,0,0,0,0,0,0
MSap:87,MSap,87,13350,-11650,1264,1264,13350,33,314,393,56,990375,21
MSapa:115,MSapa,115,12990,-12010,999,998,12990,23.5,311,397,50,837201,24.8
MSapaa:150,MSapaa,150,11806,-13194,354,356,11806,16.6,265,344,44,506031,27.6
MSapaaa:190,MSapaaa,190,11683,-13317,250,244,11683,11,189,338,37,543864,29.8
MSapaaaa:240,MSapaaaa,240,11579,-13421,131,120,11579,20.9,158,332,29,332171,25.9
MSapaaaad:355,MSapaaaad,355,0,0,0,0,0,0,0,0,0,0,0
MSapaaaav:355,MSapaaaav,355,0,0,0,0,0,0,0,0,0,0,0
MSapaaap:240,MSapaaap,240,11495,-13505,51,45,11495,21.5,202,329,31,305352,25.6
MSapaap:190,MSapaap,190,12303,-12697,810,796,12303,18.7,258,330,36,447918,26.8
MSapaapa:260,MSapaapa,260,12523,-12477,1006,977,12523,31.2,250,334,30,321916,21.7
MSapaapp:260,MSapaapp,260,14211,-10789,1874,1806,14211,20.4,291,335,29,260156,26
MSapap:150,MSapap,150,11692,-13308,217,226,11692,20.1,343,357,42,414830,26.2
MSapapa:190,MSapapa,190,11525,-13475,93,100,11525,2.2,279,339,37,512803,33.4
MSapapaa:240,MSapapaa,240,11560,-13440,74,64,11560,8.1,222,339,31,337816,31
MSapapaaa:440,MSapapaaa,440,0,0,0,0,0,0,0,0,0,0,0
MSapapaap:440,MSapapaap,440,0,0,0,0,0,0,0,0,0,0,0
MSapapap:240,MSapapap,240,11681,-13319,150,150,11681,-1.4,266,332,32,362540,34.9
MSapapp:190,MSapapp,190,11462,-13538,29,29,11462,-6.8,332,354,36,442432,37.1
