cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABplaappp:69,ABplaappp,69,5366,-19633,-84,-90,5366,40.5,358,389,41,621198
ABplaapppa:96,ABplaapppa,96,5106,-19893,-30,-31,5106,39.6,354,404,36,716353
ABplaapppp:96,ABplaapppp,96,5055,-19944,-153,-144,5055,36.2,307,398,38,799294
ABplap:18,ABplap,18,6662,-18337,482,482,6662,48.8,424,252,60,1972288
ABplapa:33,ABplapa,33,6540,-18459,243,245,6540,48.0,489,245,51,1276376
ABplapaa:50,ABplapaa,50,6125,-18874,84,84,6125,51.5,494,276,44,779539
ABplapaaa:72,ABplapaaa,72,5378,-19621,-70,-73,5378,50.5,367,355,37,532380
ABplapaaaa:99,ABplapaaaa,99,5180,-19819,-100,-116,5180,48.4,353,354,32,494361
ABplapaaaaa:142,ABplapaaaaa,142,4952,-20047,-121,-146,4952,49.9,399,361,29,358950
ABplapaaaap:142,ABplapaaaap,142,4951,-20048,-86,-97,4951,51.0,369,355,29,384810
ABplapaaap:99,ABplapaaap,99,5177,-19822,-118,-131,5177,48.2,318,356,33,476179
ABplapaaapa:139,ABplapaaapa,139,5080,-19919,-216,-192,5080,43.5,376,377,33,470730
ABplapaaapp:139,ABplapaaapp,139,5089,-19910,-229,-195,5089,42.4,337,387,30,402782
ABplapaap:72,ABplapaap,72,5451,-19548,23,24,5451,49.7,311,373,38,582259
ABplapaapa:103,ABplapaapa,103,5036,-19963,-52,-52,5036,38.9,315,387,32,476748
ABplapaapp:103,ABplapaapp,103,4984,-20015,-103,-96,4984,38.8,272,393,33,510341
ABplapap:50,ABplapap,50,6134,-18865,64,70,6134,49.9,417,257,46,777563
ABplapapa:70,ABplapapa,70,5422,-19577,-45,-46,5422,48.0,293,342,38,531363
ABplapapaa:99,ABplapapaa,99,5138,-19861,-269,-194,5138,41.9,163,340,35,585356
ABplapapap:99,ABplapapap,99,5080,-19919,-261,-158,5080,33.5,155,343,33,498393
ABplapapp:70,ABplapapp,70,5485,-19515,-26,-25,5485,46.5,240,355,38,559069
ABplapappa:95,ABplapappa,95,5065,-19934,-91,-72,5065,26.6,150,333,34,463386
